127.0.0.1 - - [12/May/2026:10:50:55 +0900] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [12/May/2026:10:52:14 +0900] "GET /favicon.ico HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [12/May/2026:10:58:16 +0900] "GET /atrs/api/member/available HTTP/1.1" 400 1645
0:0:0:0:0:0:0:1 - - [12/May/2026:11:01:02 +0900] "GET /atrs/api/member/available?membershipNumber=0000000001 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2026:11:01:38 +0900] "GET /atrs/api/member/available?membershipNumber=0000000001 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/May/2026:11:03:18 +0900] "GET /atrs/api/member/available?membershipNumber=9999999999 HTTP/1.1" 404 -
0:0:0:0:0:0:0:1 - - [12/May/2026:11:05:11 +0900] "GET /atrs/api/flights?flightType=OW&depAirportCd=HND&arrAirportCd=ITM&depDate=2026/05/15&boardingClassCd=N HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [12/May/2026:11:23:27 +0900] "GET /atrs/api/flights?flightType=OW&depAirportCd=SPK&arrAirportCd=ITM&depDate=2026/05/15&boardingClassCd=N HTTP/1.1" 400 118
0:0:0:0:0:0:0:1 - - [12/May/2026:11:23:45 +0900] "GET /atrs/api/flights?flightType=OW&depAirportCd=OKA&arrAirportCd=ITM&depDate=2026/05/15&boardingClassCd=N HTTP/1.1" 400 118
0:0:0:0:0:0:0:1 - - [12/May/2026:11:23:55 +0900] "GET /atrs/api/flights?flightType=OW&depAirportCd=HND&arrAirportCd=ITM&depDate=2026/05/15&boardingClassCd=N HTTP/1.1" 200 8417
0:0:0:0:0:0:0:1 - - [12/May/2026:14:01:13 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:04:06 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/ticket/search?flightType=RT&depAirportCd=HND&arrAirportCd=UKB&outwardDate=2026%2F05%2F12&homewardDate=2026%2F05%2F12&boardingClassCd=N&flightForm=%E7%85%A7%E4%BC%9A HTTP/1.1" 200 21235
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/jquery.tablesorter/css/theme.bootstrap.css HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/jquery.tablesorter/css/theme.default.css HTTP/1.1" 200 5630
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/jquery.tablesorter/js/jquery.tablesorter.min.js HTTP/1.1" 200 44381
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/jquery.tablesorter/js/jquery.tablesorter.widgets.min.js HTTP/1.1" 200 52911
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap/css/bootstrap-theme.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap-datepicker/css/bootstrap-datepicker3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/jquery.tablesorter/addons/pager/jquery.tablesorter.pager.min.js HTTP/1.1" 200 15706
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/js/flight-search.js HTTP/1.1" 200 24115
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap-datepicker/js/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/lodash/lodash.min.js HTTP/1.1" 200 73156
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap-datepicker/js/locales/bootstrap-datepicker.ja.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/moment/min/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/parsleyjs/parsley.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/js/atrs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/js/parsley-config.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/js/parsley-validator-date.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/js/parsley-validator-dateafterto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/js/parsley-validator-notequalto.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 404 1651
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/resources/vendor/bootstrap/fonts/glyphicons-halflings-regular.woff HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/api/flights?flightType=RT&depAirportCd=HND&arrAirportCd=UKB&boardingClassCd=N&depDate=2026%2F05%2F12&_=1778562350171 HTTP/1.1" 400 118
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:50 +0900] "GET /atrs/api/flights?flightType=RT&depAirportCd=UKB&arrAirportCd=HND&boardingClassCd=N&depDate=2026%2F05%2F12&_=1778562350172 HTTP/1.1" 400 118
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:57 +0900] "GET /atrs/api/flights?flightType=RT&depAirportCd=HND&arrAirportCd=OKA&boardingClassCd=N&depDate=2026%2F05%2F12&_=1778562350173 HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1 - - [12/May/2026:14:05:57 +0900] "GET /atrs/api/flights?flightType=RT&depAirportCd=OKA&arrAirportCd=HND&boardingClassCd=N&depDate=2026%2F05%2F12&_=1778562350174 HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [12/May/2026:14:06:27 +0900] "GET /atrs/api/flights?flightType=RT&depAirportCd=HND&arrAirportCd=OKA&boardingClassCd=N&depDate=2026%2F05%2F15&_=1778562350175 HTTP/1.1" 200 4466
0:0:0:0:0:0:0:1 - - [12/May/2026:14:06:27 +0900] "GET /atrs/api/flights?flightType=RT&depAirportCd=OKA&arrAirportCd=HND&boardingClassCd=N&depDate=2026%2F05%2F15&_=1778562350176 HTTP/1.1" 200 4469
0:0:0:0:0:0:0:1 - - [12/May/2026:14:06:34 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:08:04 +0900] "GET /atrs/api/flights?flightType=OW&depAirportCd=HND&arrAirportCd=ITM&depDate=2026/05/14&boardingClassCd=N HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [12/May/2026:14:10:20 +0900] "GET /atrs/api/v1/ticket HTTP/1.1" 405 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:11:15 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:13:52 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:15:58 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:20:24 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:21:27 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 1250
0:0:0:0:0:0:0:1 - - [12/May/2026:14:22:36 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:14:22:51 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 1250
0:0:0:0:0:0:0:1 - - [12/May/2026:14:22:52 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 1250
0:0:0:0:0:0:0:1 - - [12/May/2026:14:36:50 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 201 586
0:0:0:0:0:0:0:1 - - [12/May/2026:14:59:52 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:15:00:54 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 201 586
0:0:0:0:0:0:0:1 - - [12/May/2026:15:01:21 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 409 115
0:0:0:0:0:0:0:1 - - [12/May/2026:15:06:14 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 409 115
0:0:0:0:0:0:0:1 - - [12/May/2026:15:07:23 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 272
0:0:0:0:0:0:0:1 - - [12/May/2026:15:07:44 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 201 586
0:0:0:0:0:0:0:1 - - [12/May/2026:15:08:14 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 424
0:0:0:0:0:0:0:1 - - [12/May/2026:15:27:17 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 424
0:0:0:0:0:0:0:1 - - [12/May/2026:15:27:50 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 424
0:0:0:0:0:0:0:1 - - [12/May/2026:15:28:15 +0900] "POST /atrs/api/v1/ticket HTTP/1.1" 400 415
